glyph_unified	src_ref	pronunciation	meaning
뜹	U0-34206	ɡɑ⁵⁵	地点，处所。
벓	U0-34207	ɡɑ³³	乖。
덐	U0-34208	ɡɑ³³	前（后），（周）围。
뛿	U0-34209	ɡɑ³³	之上。
땨	U0-34210	ɡɑ¹³	垭，〖山垭〗，〖颈背〗。
둍	U0-34211	ɡɑ¹³	拌，〖拌麦面〗。〖荞疙瘩〗。蒸，〖蒸饭〗。
봷	U0-34212	ɡɑ¹³	抟，揉，挼，〖挼粑颗，抟荞疙瘩〗。
벇	U0-34301	ɡᴀ³³	〖远距离〗。
뱪	U0-34302	ɡɒ³³	〖行动〗，〖行动起来〗，〖动手〗。
봇	U0-34303	ɡo⁵⁵	〖果吉〗。
뛁	U0-34304	ɡo⁵⁵	（山、水等）阻隔。（关节，肚子等）疼痛。
듓	U0-34305	ɡo⁵⁵	〖（籽粒）饱满，壮实〗。
바	U0-34306	ɡo³³	写，〖写字〗。〖字〗，〖写字〗。
붼	U0-34307	ɡo³³	芸（豆），金（豆），〖芸豆，金豆，四季豆〗。
놩	U0-34308	ɡo³³	花（动词）。花斑。
딥	U0-34309	ɡo³³	〖火镰〗。
몗	U0-34310	ɡo¹³	空间垂直的下面。
뤔	U0-34401	ɡo¹³	弯（曲）。
닿	U0-34402	ɡo¹³	犁（名词）。
뜗	U0-34403	ɡo¹³	归，回。
롹	U0-34404	ɡo¹³	凹。
봀	U0-34405	ɡo²¹	麻木。
듛	U0-34406	ɡo²¹	（象声词）〖枪炮声〗。
뺛	U0-34407	ɡu⁵⁵	空。
밾	U0-34408	ɡu⁵⁵	（干）罅，〖水桶干罅了〗。
믍	U0-34409	ɡu⁵⁵	披。穿（衣）。〖衣服〗，〖穿衣服〗。
뤕	U0-34501	ɡu⁵⁵	〖很顽强〗。〖能沽，成都〗。〖沽主尼慕纪〗。
뢒	U0-34502	ɡu⁵⁵	盖（被子）。
빝	U0-34503	ɡu³³	棺，〖棺材〗，〖摇钱树〗。
륋	U0-34504	ɡu³³	床（量词），〖一床被子〗。
뛅	U0-34505	ɡu³³	服（气）。
미	U0-34506	ɡu³³	〖心灰意冷〗。
맄	U0-34507	ɡu³³	史。
끥	U0-34508	ɡu³³	耕，〖耕地〗。〖庄稼（古语，耕牧）〗。
끓	U0-34509	ɡu³³	〖认真〗。
븱	U0-34510	ɡu³³	吓跳。
빞	U0-34511	ɡu²¹	院（落）。园。（厅）堂。
놪	U0-34601	ɡu²¹	处，圈（量词）。
뒈	U0-34602	ɡu²¹	〖砂锅〗。
몿	U0-34603	ɡu²¹	国。（天）空。
뚎	U0-34604	ɡu²¹	部位。
뽕	U0-34605	ɡu²¹	聚（会）。
빣	U0-34606	ɡu²¹	〖周围〗。轮（量词）。
볢	U0-34607	ɡu²¹	圆。
뽛	U0-34608	ɡu²¹	〖戏弄，逗玩〗。
빢	U0-34609	ɡu²¹	营。扎（营）。
뽖	U0-34610	ɡu²¹	饱满。俊俏。
됕	U0-34701	ɡu²¹	〖砍柴刀〗。
됖	U0-34702	ɡu²¹	〖碗〗。
뜉	U0-34703	ɡu²¹	〖抢救〗。
맧	U0-34704	ɡʊ²¹	完，〖事做了没有？〗。
떾	U0-34705	ɡʊ²¹	成熟，〖果子成熟〗。
멚	U0-34706	ɡʊ²¹	歌。〖跳舞〗。
럏	U0-34707	ɡʊ²¹	盾。
뮗	U0-34708	ɡɯ⁵⁵	鹤。
묻	U0-34709	ɡɯ⁵⁵	涉（水），〖涉水〗。〖津梁〗，〖天地津梁断〗。
덽	U0-34710	ɡɯ⁵⁵	〖格，过关祈福仪式，地方政权〗，〖慕俄格〗，〖纪俄格〗。
렳	U0-34801	ɡɯ⁵⁵	前，〖房前〗，〖周围〗。
뭘	U0-34802	ɡɯ⁵⁵	那。
뤖	U0-34803	ɡɯ⁵⁵	立，〖立春〗。
믹	U0-34804	ɡɯ⁵⁵	〖祈祷，祝告〗，〖还愿祝告〗。
뭙	U0-34805	ɡɯ³³	稳。
땩	U0-34806	ɡɯ³³	尽。完了。
뱖	U0-34807	ɡɯ³³	〖瘦〗。
럐	U0-34808	ɡɯ³³	〖壁虎〗。
랔	U0-34809	ɡɯ³³	关（自动）。
르	U0-34810	ɡɯ²¹	亲（疏）。亲（戚）。
놫	U0-34811	ɡɯ²¹	〖蓑衣〗。
맩	U0-34812	ɡɯ²¹	（形容词缀）累累。
놭	U0-34901	ɡɯ²¹	仇，敌。〖打仗〗，〖互相械斗〗，〖战场〗。
뺌	U0-34902	ɡɯ²¹	竭，尽。
