glyph_unified	src_ref	pronunciation	meaning
󵡇	D2-0392	ɡu³³	（一）块（地）。
󵡈	D2-0393	ho³³	大象。
󵡉	D2-0394	ho³³	送（人），送（鬼）。
󵡊	D2-0395	ka³³	内，里（面）。
󵡋	D2-0396	tə²¹	斗（名词，量词）。
󵡌	D2-0397	t͡ɕe³³	（lo²¹～）茶。
󵡍	D2-0398	bu³³	绣（花）。
󵡎	D2-0399	ʑo³³	（bɯ²¹～）蚁，蚂蚁。
󵡏	D2-0400	ʂu³³	（～bɯ³³）玉米，包谷。
󵡐	D2-0401	t͡se⁵⁵	绩，捻。
󵡑	D2-0402	hə⁵⁵	吓唬，吓（人）。
󵡒	D2-0403	ke³³	越（来）越。
󵡓	D2-0404	bɯ³³	（牛）背，峰，眉（毛），上（方），（房）头。
󵡔	D2-0405	t͡ɕʰi⁵⁵	（天）黄昏，（天色）晚。
󵡕	D2-0406	ha²¹	削（木头）。
󵡖	D2-0407	t͡si⁵⁵	（～t͡sə²¹）（说话）口吃。
󵡗	D2-0408	li⁵⁵	（～po⁵⁵）孙子。
󵡘	D2-0409	da²¹	牛吃草（田里的草）。
󵡙	D2-0410	bɛ³³	（排行老）三。
󵡚	D2-0411	lu³³	（kʰiɛ³³～）背箩。
󵡛	D2-0412	t͡sʰɛ²¹	膻（味）。
󵡜	D2-0413	to²¹	捅（蜂窝）。
󵡝	D2-0414	sɛ²¹	（谷）粒。
󵡞	D2-0415	bia³³	忘记，淡忘。
󵡟	D2-0416	pɯ⁵⁵	（bə²¹～）（推）倒。
󵡠	D2-0417	ɕe⁵⁵	（～bɑ³³）下巴。
󵡡	D2-0418	e³³	念（书），读（书）。
󵡢	D2-0419	ɡə³³	磨损。
󵡣	D2-0420	me³³	（～lɑ³³）（手）巧。
󵡤	D2-0421	d͡zi²¹	麻，大麻。
󵡥	D2-0422	tʰə³³	云，说，曰。
󵡦	D2-0423	t͡su³³	涌，跳（水开、泉水从地下冒出来状）。
󵡧	D2-0424	t͡sʰuɛ²¹	烧石头（用于祭祀）。
󵡨	D2-0425	t͡sʰi²¹	下（饭吃）。
󵡩	D2-0426	kʰu⁵⁵	（～tʰi⁵⁵）小铃铛。
󵡪	D2-0427	to²¹	（～kɑ²¹）矛，红缨枪，枪杆子。
󵡫	D2-0428	lu³³	公绵羊。
󵡬	D2-0429	pʰiɛ²¹	砍（砍小树一刀、砍一棵的砍法）。
󵡭	D2-0430	ɡə³³	孤独，寂寞，奇怪，稀奇。
󵡮	D2-0431	to³³	赌气，生闷气，不理人。
󵡯	D2-0432	χə³³	吵架，骂架，骂。
󵡰	D2-0433	ɣo²¹	（～sɛ²¹）冰，（ɣo²¹～）冰雹。
󵡱	D2-0434	t͡sʰɛ²¹	俏（形容词），漂亮得发光。
󵡲	D2-0435	t͡ʂo²¹	一阵，一趟。
󵡳	D2-0436	d͡ʑu²¹	惊骇而散。
󵡴	D2-0437	bi²¹	酒井（酿酒工具）。
󵡵	D2-0438	vu³³	（bo²¹～）胡子，胡须。
󵡶	D2-0439	kʰɯ³³	那底下。
󵡷	D2-0440	t͡sʰu³³	盘腿坐，一下坐下来。
󵡸	D2-0441	t͡sʰua²¹	赶紧吃（形容词）。
󵡹	D2-0442	sɛ²¹	果子（词头），水果，果子。
󵡺	D2-0443	tʰi²¹	（ɑ⁵⁵～）（打）喷嚏。
󵡻	D2-0444	ɣo²¹	力，工。
󵡼	D2-0445	bo³³	听见，听到。
󵡽	D2-0446	t͡ɕa³³	（鸡）爪。
󵡾	D2-0447	pʰa⁵⁵	（～lu²¹lu²¹）胖（小孩）。
󵡿	D2-0448	ɕi²¹	屎。
󵢀	D2-0449	ɕe⁵⁵	献，祭（酒）。
󵢁	D2-0450	t͡ʂo³³	找，寻找。
󵢂	D2-0451	pe⁵⁵	（一）班，（一）辈。
󵢃	D2-0452	və³³	赎（回）。
󵢄	D2-0453	t͡ʂo²¹	（打一）下。
󵢅	D2-0454	d͡zu³³	（一）群。
󵢆	D2-0455	t͡si⁵⁵	（～mo³³）锄头。
󵢇	D2-0456	ko³³	（蹄）叉，（树）杈。
󵢈	D2-0457	nə³³	（嘴）馋。
󵢉	D2-0458	t͡si⁵⁵	涩（味）。
󵢊	D2-0459	sə⁵⁵	磨（刀）。
󵢋	D2-0460	t͡ʂʰu³³	铲，锄（草）。
󵢌	D2-0461	ȵi³³	瘦（肉）。
