glyph_unified	src_ref	pronunciation	meaning
	U1-06005		〖休克，昏死〗。〖气馁，疲倦〗。
	U1-06006		腌。
	U1-06101		掷，瘊（子）。肉瘤。
	U1-06102		尾，末。
	U1-06103		绸缎。衣（古语）。
	U1-06104		火。
	U1-06105		女儿。（阿美妮，（远古时期，与耿奢哲（举奢哲）同时期人）。〖阿美鲁洪，（彝族“六祖”第五位慕克克的十三世孙〗。
	U1-06201		名。
	U1-06202		（（怜）悯，可怜）。
	U1-06203		空，闲。
	U1-06204		及。〖赶上〗。
	U1-06205		各自。
	U1-06301		〖核桃〗。
	U1-06302		熟。
	U1-06303		〖黄果〗。〖牛虻〗。
	U1-06304		（舌头）伸缩。
	U1-06305		（烧）焦。
	U1-06306		梦（名词）。做梦。〖阿迷，古称阿迷州，即云南开远市〗。
	U1-06401		锣。〖人熊〗。
	U1-06402		〖苗族〗。
	U1-06403		〖杜鹃〗。
	U1-06404		兵，军。
	U1-06405		乞求，乞讨。祈祷，祈求。
	U1-06501		黑粉。
	U1-06502		不（否定副词）。
	U1-06503		（向前）冲。
	U1-06504		〖紫黑色〗。
	U1-06505		威（风），威（势）。
	U1-06601		竹。
	U1-06602		〖樟木树〗。
	U1-06603		（语气助词）嘛。
	U1-06604		反扣（把有口的器物反扣着）。
	U1-06605		〖泡木树，五倍子树〗。
	U1-06606		尸（体）。
	U1-06607		同（睡），陪（睡）。
	U1-06701		〖衣襟〗。
	U1-06702		（庄稼地里的）杂草。
	U1-06703		鬃（zong）〖马鬃，猪鬃〗。
	U1-06704		〖图影，属相〗。〖鄂莫，古彝人的一个部落〗。
	U1-06705		〖规整。严实。〗。
	U1-06706		〖板栗〗。
	U1-06707		风箱。
	U1-06801		〖犁板〗。
	U1-06802		〖洋芋〗。
	U1-06803		嫂子。
	U1-06804		〖水瓢〗。
	U1-06805		
	U1-06806		做。〖地名用词〗。
	U1-06807		地（副词）。
	U1-06901		赠送，馈赠。
	U1-06902		（兄弟中的）长者，2，大。
	U1-06903		吹（奏），吹（火），吹（胀）。
	U1-06904		刮（风）。风（流）。
	U1-06905		〖臭虫〗。
