glyph_unified	src_ref	pronunciation	meaning
앨	D0-08302	mɑu⁵⁵/mɑu³³/mɑu²¹	mao。【茂密】，【茂盛】…
앩	D0-08401	mo⁵⁵	高。
앪	D0-08402	mo⁵⁵/mo³³/mo²¹	mo。【万俟】，【末代】…
앫	D0-08501	mo⁵⁵	竹；饱；筷。
앬	D0-08502	mo⁵⁵	高（粱）。
앭	D0-08601	mo⁵⁵	兄；哥。
앮	D0-08602	mo⁵⁵	地；里；几；方。
앯	D0-08603	mo³³	马（名词）。
앰	D0-08604	mo³³	摸；扒。
앱	D0-08605	mo²¹	大（形容词）；雌。
앲	D0-08606	mo²¹	母；妈；娘。
앳	D0-08607	mo²¹	妹（词缀）。
앴	D0-08608	mo²¹	樟（树）。
앵	D0-08609	mo²¹	芋（专用名）。
앶	D0-08701	mo̰²¹	教（育）；指（导）。
앷	D0-08702	mo̰²¹	卧（睡）；反扣。
앸	D0-08703	mo̰²¹	纠缠。
앹	D0-08704	mo̰²¹	瓢。
앺	D0-08705	mou²¹	mou。【牟利】，【牟取】…
앻	D0-08706	mu⁵⁵	蘑；菌；蕈。
야	D0-08707	mu⁵⁵/mu²¹	mu。【木材】，【木筏】…
약	D0-08901	mu³³	天；帝。
앾	D0-08902	mu³³	（苍）蝇。
앿	D0-08903	mṵ³³	吹；刮。
얀	D0-08904	mṵ³³	孵。
얁	D0-08905	mu²¹	做。
얂	D0-08906	mu²¹	（芝）麻。
얃	D0-08907	mu²¹	鹑（专用）。
얄	D0-08908	mu²¹	面粉。
얅	D0-08909	mɤ⁵⁵	闭。
얆	D0-08910	mɤ⁵⁵	含；抿。
얇	D0-08911	mɤ⁵⁵	焖。
얈	D0-09001	mɤ̰²¹	麦；谷。
앥	D0-09002	mɤ̰²¹	脉搏。
얊	D0-09101	fi⁵⁵	东（古彝语）。
얋	D0-09102	fi⁵⁵	唢；箫。
얌	D0-09103	fi²¹	回（族）。
얍	D0-09104	fḭ²¹	穿（使动）。
얎	D0-09105	fe⁵⁵	（挎）包。
얏	D0-09106	fe²¹	宽。
얐	D0-09107	fḛ²¹	崖；岩。
양	D0-09108	fɛ⁵⁵/fæ̰²¹	干；涸。
얒	D0-09201	fɛ⁵⁵	退（潮）。
얓	D0-09202	fɛ⁵⁵	种；类（贬义）。
얔	D0-09203	fɛ⁵⁵	罪犯（古彝语）。
얕	D0-09204	fɛ³³	左。
얖	D0-09205	fɛ³³	审。
얗	D0-09206	fei⁵⁵/fei³³/fei²¹	fei。【肺病】，【肺炎】…
얘	D0-09301	fən⁵⁵/fən³³/fən²¹	fen。【分量】，【分子】…
얘	D0-09401	fəŋ⁵⁵/fəŋ³³/fəŋ²¹	feng。【凤凰】，【凤梨】…
얚	D0-09501	fæ̰³³	发；返。
양	D0-09502	fæ̰²¹/fɛ⁵⁵	干；旱。
얜	D0-09601	fæ̰³³	挜（劝饭）；罚。
얝	D0-09602	fᴀ⁵⁵/fᴀ³³/fᴀ²¹	fa。【发夹】，【发胶】…
얞	D0-09701	fan⁵⁵/fan³³/fan²¹	fan。【犯案】，【犯法】…
